"Genus","logFC","SE","p","q","significant","enriched_in"
"Tepidiphilus",1.30959164950604,0.166754459789987,2.7364072893495e-06,0.000342359588003143,TRUE,"Diffuse"
"Pseudoleptotrichia",1.54841951225267,0.200369863731414,5.34936856254911e-06,0.000342359588003143,TRUE,"Diffuse"
"Dialister",-1.02683826177868,0.172523131175918,1.57680629685261e-05,0.000672770686657114,TRUE,"Intestinal"
"Incertae_Sedis",1.34385749696955,0.262502990953393,5.22654950895649e-05,0.00111499722857738,TRUE,"Diffuse"
"Peptoniphilus",-1.21752562984613,0.166283219428082,4.4584910237963e-05,0.00111499722857738,TRUE,"Intestinal"
"Brevundimonas",-0.923555720230586,0.163507454056846,3.62982191186302e-05,0.00111499722857738,TRUE,"Intestinal"
"hgcI_clade",-1.37600423972629,0.203640093001876,8.29846536780734e-05,0.0015174336672562,TRUE,"Intestinal"
"Moraxella",-1.04589312842255,0.218447586503522,0.000201254503922832,0.00322007206276531,TRUE,"Intestinal"
"TM7x",1.08049626399615,0.268397318030624,0.000355755322004753,0.00505963124628982,TRUE,"Diffuse"
"Incertae_Sedis.6",0.874459683518444,0.178299032427074,0.000618998314288029,0.00774974266361096,TRUE,"Diffuse"
"Incertae_Sedis.15",0.875827326131573,0.162959328547186,0.000665993510154067,0.00774974266361096,TRUE,"Diffuse"
"Helicobacter",2.4361285549847,0.670313022695974,0.000739214706735585,0.00788495687184624,TRUE,"Diffuse"
"Unclassified_Sphingomonadaceae",0.697642465405181,0.147656963291484,0.00149299006720377,0.0147002098924679,TRUE,"Diffuse"
"Micrococcus",-1.33321109307389,0.329551095594958,0.00162327848657347,0.0148414033058146,TRUE,"Intestinal"
"Incertae_Sedis.14",-0.856000429935185,0.176249403687217,0.00184199018794185,0.0157183162704371,TRUE,"Intestinal"
"Vibrio",-0.884664676240139,0.229766727734932,0.00269822672624431,0.0203160600564277,TRUE,"Intestinal"
"Treponema",0.742046071829957,0.209959164459878,0.00254767587091637,0.0203160600564277,TRUE,"Diffuse"
"Stomatobaculum",-0.699364833473146,0.212970451861423,0.00371129987304101,0.0263914657638472,TRUE,"Intestinal"
"Enterococcus",-0.623301190148354,0.159222475583849,0.00445176130010349,0.0299908129691182,TRUE,"Intestinal"
"Kocuria",-0.730248873515941,0.209468685164452,0.00509256500054459,0.0325924160034854,TRUE,"Intestinal"
"Unclassified_NA",-1.57695562348223,0.544795594206213,0.0063333724044067,0.0386034127506694,TRUE,"Intestinal"
"Stenotrophomonas",-0.888612535528705,0.278053294001082,0.00702367836551791,0.0408650377630133,TRUE,"Intestinal"
"Porphyromonas",0.909409158564808,0.325053921677689,0.00780444524910645,0.0427949602188038,TRUE,"Diffuse"
"Candidatus_Solibacter",0.653804131413406,0.16873774494707,0.00822121638853164,0.0427949602188038,TRUE,"Diffuse"
"Staphylococcus",-1.05440441299821,0.381607748826916,0.00869272629444453,0.0427949602188038,TRUE,"Intestinal"
"Weissella",-1.09837431414123,0.335605505713286,0.0083902784279919,0.0427949602188038,TRUE,"Intestinal"
"Lactobacillus",1.05694662149549,0.381184983135645,0.00906861625386554,0.042991958536844,TRUE,"Diffuse"
"Actinobacillus",0.837549267369506,0.306291816891718,0.0100985963803141,0.046165012024293,TRUE,"Diffuse"
"Rubrobacter",-0.473436900024934,0.143361529148419,0.0108200913345176,0.0477576445109743,TRUE,"Intestinal"
"Finegoldia",-0.557428806837237,0.165841323162914,0.0120642217284924,0.0492853784895977,TRUE,"Intestinal"
"Unclassified_Paracoccaceae",0.660429318150314,0.219694031878312,0.0119481698585614,0.0492853784895977,TRUE,"Diffuse"
"Incertae_Sedis.16",0.638468405346346,0.204646286009626,0.0123213446223994,0.0492853784895977,TRUE,"Diffuse"
"Acinetobacter",-0.968452162680419,0.389058965103807,0.0167503668267195,0.0645974484375148,FALSE,"Not significant"
"Pseudomonas",-0.651729054072946,0.259229785033307,0.0171586972412149,0.0645974484375148,FALSE,"Not significant"
"Solobacterium",0.580526570171314,0.23801328216752,0.0189280074002931,0.0692224270639289,FALSE,"Not significant"
"Shewanella",-0.747252219398215,0.3228743952136,0.0254899187716171,0.0906308222990831,FALSE,"Not significant"
"Delftia",-0.401118365682627,0.172515207877371,0.0278259299526888,0.0913261290754915,FALSE,"Not significant"
"Massilia",-0.647677699651875,0.279701869887179,0.0273655810808441,0.0913261290754915,FALSE,"Not significant"
"Unclassified_Bacillaceae",-0.595131272620763,0.245908535179895,0.0270027489603293,0.0913261290754915,FALSE,"Not significant"
"Limosilactobacillus",-1.0224603278841,0.435811886106903,0.0288644105174655,0.0923661136558897,FALSE,"Not significant"
"Halomonas",-0.78538635960185,0.357169208204106,0.0333114852739229,0.103996832074686,FALSE,"Not significant"
"Capnocytophaga",0.590237192271674,0.261465935230807,0.0366449710424629,0.111679911748458,FALSE,"Not significant"
"Fusobacterium",0.610096720337217,0.292512247323292,0.0431178609532594,0.128350841907377,FALSE,"Not significant"
"Unclassified_NA.1",0.55607063150843,0.244848242125766,0.0492757595284421,0.137115156948708,FALSE,"Not significant"
"Unclassified_Comamonadaceae",-0.471245570939623,0.224977865798524,0.0491422521374915,0.137115156948708,FALSE,"Not significant"
"Incertae_Sedis.11",0.396594710297598,0.17085054494988,0.04882054689791,0.137115156948708,FALSE,"Not significant"
"Howardella",-0.52277892537428,0.239167430362253,0.0537135803994504,0.14609142015037,FALSE,"Not significant"
"Incertae_Sedis.18",0.382592216359899,0.178069401187634,0.0547842825563886,0.14609142015037,FALSE,"Not significant"
"Ligilactobacillus",-1.14912567202436,0.599218247215723,0.0624925377645052,0.16324581293585,FALSE,"Not significant"
"Unclassified_Lactobacillaceae",0.566609703941576,0.287603114579024,0.0675748100551344,0.170585925069511,FALSE,"Not significant"
"Sarcina",-0.7115511991785,0.370673581509878,0.0679678295198833,0.170585925069511,FALSE,"Not significant"
"Incertae_Sedis.4",0.338897566912251,0.157284885567627,0.0746233703428309,0.178808291984733,FALSE,"Not significant"
"Unclassified_Rhodocyclaceae",0.367658923692422,0.176266346241014,0.0754347481810593,0.178808291984733,FALSE,"Not significant"
"[Eubacterium]_sulci_group",0.440968865678812,0.239334866178324,0.0734299456180195,0.178808291984733,FALSE,"Not significant"
"Acidibacter",0.302402776982593,0.155948040256776,0.084427747313772,0.189592134318646,FALSE,"Not significant"
"Achromobacter",0.371723795448444,0.205025866405523,0.0834910047094229,0.189592134318646,FALSE,"Not significant"
"Incertae_Sedis.12",0.395773723041969,0.221221915956148,0.0830794644603658,0.189592134318646,FALSE,"Not significant"
"Cutibacterium",-0.400693849931391,0.226569478336139,0.0914983152196279,0.201927316346765,FALSE,"Not significant"
"Parvimonas",0.430634970235615,0.251670368538334,0.0948069357580111,0.205682843678397,FALSE,"Not significant"
"Agrobacterium",-0.379726594889006,0.204642002401868,0.105898619107935,0.225917054096928,FALSE,"Not significant"
"Unclassified_Enterobacteriaceae",-0.314480434101206,0.187882612222237,0.113600959678842,0.238375784244127,FALSE,"Not significant"
"Incertae_Sedis.2",0.648289332186107,0.406186155981448,0.117804123011306,0.243208512023342,FALSE,"Not significant"
"Corynebacterium",-0.451181391119902,0.286775741323641,0.124400299206356,0.248800598412711,FALSE,"Not significant"
"Unclassified_Intrasporangiaceae",-0.323061424308834,0.202678273017257,0.123510620766464,0.248800598412711,FALSE,"Not significant"
"Segatella",0.361859377545132,0.23090154056011,0.12831081835074,0.252673611521457,FALSE,"Not significant"
"Incertae_Sedis.7",-0.332842072527321,0.205646097811299,0.133841049181126,0.259570519624002,FALSE,"Not significant"
"Escherichia-Shigella",-0.257217846850542,0.16790785571209,0.145079627971245,0.276016737282064,FALSE,"Not significant"
"Incertae_Sedis.17",-0.277784947847422,0.176517482824107,0.146633891681096,0.276016737282064,FALSE,"Not significant"
"Veillonella",-0.649649835260105,0.444010986645369,0.150701119932094,0.279561497845045,FALSE,"Not significant"
"Incertae_Sedis.8",0.321126290778601,0.215751579352065,0.157364428235056,0.285205743109569,FALSE,"Not significant"
"Campylobacter",0.311765920865812,0.216581249448693,0.158200060631089,0.285205743109569,FALSE,"Not significant"
"Schaalia",0.369909306991831,0.259349036546236,0.161540748496522,0.287183552882707,FALSE,"Not significant"
"Alistipes",-0.240627547683494,0.159898023942906,0.170769645179025,0.299431706615276,FALSE,"Not significant"
"Bacteroides",0.282818425172743,0.20456358239018,0.182840542803234,0.312047859717519,FALSE,"Not significant"
"Candidatus_Actinomarina",-0.278972361078504,0.190623805094415,0.181490361119095,0.312047859717519,FALSE,"Not significant"
"Leptotrichia",-0.448562207344488,0.335700574862796,0.189431674046101,0.319042819446065,FALSE,"Not significant"
"Clostridium",0.338225559835744,0.252544088889653,0.194797986916322,0.323820030198562,FALSE,"Not significant"
"Johnsonella",-0.344652555440207,0.275201276773495,0.232498903486513,0.381536662131714,FALSE,"Not significant"
"Luteimonas",-0.212830300097388,0.16846589995989,0.24203818643589,0.392163137516379,FALSE,"Not significant"
"Paracoccus",0.196169453294891,0.165968222855746,0.258387310936628,0.413419697498605,FALSE,"Not significant"
"Candidatus_Udaeobacter",0.191250702173994,0.167986349358975,0.277135288770112,0.432601426372858,FALSE,"Not significant"
"Mogibacterium",0.213982862020167,0.192249231103577,0.275498972333325,0.432601426372858,FALSE,"Not significant"
"Tepidimonas",-0.172530505198887,0.160873412259244,0.304607454465959,0.468572326169534,FALSE,"Not significant"
"Chujaibacter",0.236016808651049,0.216551881942787,0.307500589048757,0.468572326169534,FALSE,"Not significant"
"Oribacterium",0.171172430950794,0.178240195498759,0.34686850089382,0.522343154287165,FALSE,"Not significant"
"Gemella",0.214654850246655,0.234627108018064,0.36535846772569,0.543789347312654,FALSE,"Not significant"
"Alloprevotella",0.339070941490605,0.376203805798792,0.372695197932292,0.544171873135224,FALSE,"Not significant"
"Incertae_Sedis.13",-0.147556217806633,0.155449209435054,0.374118162780466,0.544171873135224,FALSE,"Not significant"
"Haemophilus",-0.269420059280989,0.325630164751204,0.412589626144644,0.593387327488926,FALSE,"Not significant"
"Unclassified_Prevotellaceae",0.231807060523281,0.293235928845421,0.434133719367679,0.616609779319241,FALSE,"Not significant"
"Unclassified_NA.3",-0.187968353769871,0.23376200053406,0.438371014984773,0.616609779319241,FALSE,"Not significant"
"Lautropia",-0.154620295413664,0.203673588107541,0.45619594285448,0.627882588014768,FALSE,"Not significant"
"Anaerococcus",-0.145846295805088,0.184950121848844,0.453094888946652,0.627882588014768,FALSE,"Not significant"
"Prevotella",0.230904215522927,0.327900973114018,0.485111535035958,0.640147180253636,FALSE,"Not significant"
"Bifidobacterium",-0.362658699585047,0.498010019143232,0.477004942642806,0.640147180253636,FALSE,"Not significant"
"Incertae_Sedis.10",0.125665749150034,0.176139446510942,0.482178233136153,0.640147180253636,FALSE,"Not significant"
"Peptococcus",0.134083240176918,0.182309613051683,0.473397310103197,0.640147180253636,FALSE,"Not significant"
"Lachnoanaerobaculum",-0.124769203754683,0.179781965704912,0.492261300696701,0.642953535603854,FALSE,"Not significant"
"Bergeyella",0.12522348240672,0.19050306126732,0.521629326074976,0.66768553737597,FALSE,"Not significant"
"[Eubacterium]_brachy_group",0.116763376397447,0.171184020353398,0.517106776103889,0.66768553737597,FALSE,"Not significant"
"Aggregatibacter",0.164493034992333,0.271268557574503,0.54867468681472,0.695350098141428,FALSE,"Not significant"
"Incertae_Sedis.3",0.128468800223401,0.216072834648275,0.570845369004755,0.709525629846135,FALSE,"Not significant"
"Selenomonas",-0.136091364326072,0.2363990593318,0.570946405266812,0.709525629846135,FALSE,"Not significant"
"Castellaniella",-0.10007742735096,0.182172622160735,0.591417428324031,0.727898373321884,FALSE,"Not significant"
"Eikenella",0.0987122467037066,0.198019456604331,0.625873403630078,0.762969482520476,FALSE,"Not significant"
"Pseudoalteromonas",-0.0970351558500467,0.208406926654393,0.649835693313409,0.784707252302985,FALSE,"Not significant"
"Alteromonas",-0.083287719300581,0.190206801792229,0.674666827564592,0.787104557047732,FALSE,"Not significant"
"Enhydrobacter",0.119092825007286,0.281822599553556,0.677344970541554,0.787104557047732,FALSE,"Not significant"
"Actinomyces",0.0953938164446825,0.239864258478155,0.6948657417687,0.787104557047732,FALSE,"Not significant"
"Neisseria",-0.136763499532826,0.324409264928608,0.675433881986056,0.787104557047732,FALSE,"Not significant"
"Incertae_Sedis.9",0.0745862524121068,0.181165882785955,0.690190259106497,0.787104557047732,FALSE,"Not significant"
"Filifactor",0.101779784526008,0.227833831772018,0.658770322577951,0.787104557047732,FALSE,"Not significant"
"Unclassified_Lachnospiraceae",-0.157380633940673,0.383988768435277,0.685401469322965,0.787104557047732,FALSE,"Not significant"
"Lancefieldella",0.0882308570833076,0.230651898994391,0.704094725215236,0.790562498487283,FALSE,"Not significant"
"Granulicatella",-0.0973929403730754,0.281986625855958,0.7315734382858,0.81427304435289,FALSE,"Not significant"
"Cardiobacterium",-0.0442725238324738,0.163149492023663,0.792234438913465,0.874189725697617,FALSE,"Not significant"
"Streptococcus",-0.0633946743298054,0.293572447050795,0.83005393028507,0.90809318868794,FALSE,"Not significant"
"Rothia",0.0628523082486505,0.311412127318792,0.841001450766694,0.912272760153702,FALSE,"Not significant"
"Incertae_Sedis.5",0.0346393666876975,0.191569909647495,0.86051640627103,0.917884166689099,FALSE,"Not significant"
"Catonella",-0.0313624472348799,0.167066943961014,0.853608973616451,0.917884166689099,FALSE,"Not significant"
"Incertae_Sedis.1",0.0416408058830666,0.27111979862365,0.879854873778896,0.918087416748393,FALSE,"Not significant"
"Megasphaera",-0.0317660730925957,0.242593661660936,0.896569742918352,0.918087416748393,FALSE,"Not significant"
"Peptostreptococcus",0.031564069440195,0.22972926305377,0.891358495701111,0.918087416748393,FALSE,"Not significant"
"Brucella",-0.0285144450296504,0.209432201163948,0.893301050912746,0.918087416748393,FALSE,"Not significant"
"Sphingomonas",-0.0408184428639304,0.244106702319569,0.868967290411317,0.918087416748393,FALSE,"Not significant"
"Unclassified_NA.2",-0.0212352536653606,0.205312102290464,0.919890442682763,0.92713367451491,FALSE,"Not significant"
"Hydrogenophilus",0.031904395965107,0.300157493345231,0.91589540239405,0.92713367451491,FALSE,"Not significant"
"Hoylesella",-0.00737892766949964,0.348534131979575,0.98321425241205,0.98321425241205,FALSE,"Not significant"
