"Genus","logFC","SE","p","q","significant","enriched_in"
"Tepidiphilus",1.33935745922033,0.181362317236576,5.30811566358586e-06,0.000552793540347531,TRUE,"Diffuse"
"Pseudoleptotrichia",1.58065432742224,0.214521907849231,8.63739906793018e-06,0.000552793540347531,TRUE,"Diffuse"
"Dialister",-1.00849383175442,0.187073609574743,4.87764364287657e-05,0.002081127954294,TRUE,"Intestinal"
"Incertae_Sedis",1.371099407956,0.275364159311726,7.20935647049522e-05,0.00230699407055847,TRUE,"Diffuse"
"Peptoniphilus",-1.18527281152459,0.18115705560989,0.000106052145283657,0.00271493491926163,TRUE,"Intestinal"
"Brevundimonas",-0.889647119649456,0.177475955381483,0.000127539909086215,0.00272085139383926,TRUE,"Intestinal"
"hgcI_clade",-1.34374528832837,0.218928279879995,0.000171218109006991,0.00313084542184212,TRUE,"Intestinal"
"Moraxella",-1.03119032699907,0.23309428881818,0.000425582677355384,0.00680932283768614,TRUE,"Intestinal"
"TM7x",1.10444142348942,0.282434638090125,0.000488128275094913,0.00694226880134987,TRUE,"Diffuse"
"Incertae_Sedis.6",0.902251812614496,0.191867899414542,0.000838427265254505,0.00975624454114333,TRUE,"Diffuse"
"Helicobacter",2.46327427046437,0.681862334991032,0.000788305445165551,0.00975624454114333,TRUE,"Diffuse"
"Incertae_Sedis.15",0.895694371456497,0.177940544052629,0.00100953996204225,0.010768426261784,TRUE,"Diffuse"
"Unclassified_Sphingomonadaceae",0.744421524424984,0.161645509835142,0.00174339942865155,0.0171657789897999,TRUE,"Diffuse"
"Micrococcus",-1.30396717727952,0.342222824566144,0.00248292908919714,0.0227010659583738,TRUE,"Intestinal"
"Treponema",0.767708613383198,0.223874645095968,0.00319909766356728,0.0272989667291074,TRUE,"Diffuse"
"Incertae_Sedis.14",-0.831286694515409,0.191754230978411,0.00341618991455451,0.0273295193164361,TRUE,"Intestinal"
"Vibrio",-0.879473198281857,0.243701667027951,0.00410608869496469,0.030916432526793,TRUE,"Intestinal"
