"Genus","logFC","SE","p","q_ANCOM","significant","enriched_in","stat","p.value","q_IndVal","associated_group"
"Tepidiphilus",1.33935745922033,0.181362317236576,5.30811566358586e-06,0.000552793540347531,TRUE,"Diffuse",0.575894541439263,0.1307,0.548022807017544,"Diffuse"
"Pseudoleptotrichia",1.58065432742224,0.214521907849231,8.63739906793018e-06,0.000552793540347531,TRUE,"Diffuse",0.53620855973849,0.3336,0.738292727272727,"Diffuse"
"Dialister",-1.00849383175442,0.187073609574743,4.87764364287657e-05,0.002081127954294,TRUE,"Intestinal",0.441938455285977,0.9959,1,"Diffuse"
"Incertae_Sedis",1.371099407956,0.275364159311726,7.20935647049522e-05,0.00230699407055847,TRUE,"Diffuse",0.340054098655609,0.3638,0.768573684210526,"Diffuse"
"Peptoniphilus",-1.18527281152459,0.18115705560989,0.000106052145283657,0.00271493491926163,TRUE,"Intestinal",0.592982813005088,0.0213,0.212787096774194,"Diffuse"
"Brevundimonas",-0.889647119649456,0.177475955381483,0.000127539909086215,0.00272085139383926,TRUE,"Intestinal",0.63640588823764,0.0432,0.294994285714286,"Diffuse"
"hgcI_clade",-1.34374528832837,0.218928279879995,0.000171218109006991,0.00313084542184212,TRUE,"Intestinal",0.545912054261003,0.104,0.507265306122449,"Diffuse"
"Moraxella",-1.03119032699907,0.23309428881818,0.000425582677355384,0.00680932283768614,TRUE,"Intestinal",0.630036222514183,0.0995,0.5019,"Diffuse"
"TM7x",1.10444142348942,0.282434638090125,0.000488128275094913,0.00694226880134987,TRUE,"Diffuse",0.789634059555489,0.0895,0.465010869565217,"Diffuse"
"Incertae_Sedis.6",0.902251812614496,0.191867899414542,0.000838427265254505,0.00975624454114333,TRUE,"Diffuse",0.267239450227783,0.7941,0.996292146596859,"Diffuse"
"Helicobacter",2.46327427046437,0.681862334991032,0.000788305445165551,0.00975624454114333,TRUE,"Diffuse",0.973095357204169,7e-04,0.0307285714285714,"Diffuse"
