"Genus","s.Diffuse","s.Intestinal","index","stat","p.value","q","associated_group"
"Arcobacter",0,1,2,0.673594873091213,1e-04,0.0239,"Diffuse"
"Unclassified_Enterobacteriaceae",0,1,2,0.776758850123867,6e-04,0.0307285714285714,"Diffuse"
"Micrococcus",0,1,2,0.764372323539776,9e-04,0.0307285714285714,"Diffuse"
"Ligilactobacillus",0,1,2,0.973557172717102,5e-04,0.0307285714285714,"Diffuse"
"Sphingomonas",0,1,2,0.804710731232852,3e-04,0.0307285714285714,"Diffuse"
"Helicobacter",1,0,1,0.973095357204169,7e-04,0.0307285714285714,"Diffuse"
"Stenotrophomonas",0,1,2,0.729453481440702,9e-04,0.0307285714285714,"Diffuse"
"Unclassified_NA",0,1,2,0.89963547182035,0.0016,0.0424888888888889,"Diffuse"
"Marinobacterium",0,1,2,0.616849735767625,0.0016,0.0424888888888889,"Diffuse"
"Mammalia",0,1,2,0.577350269189626,0.002,0.0478,"Diffuse"
