"","taxon","lfc_(Intercept)","lfc_Lauren_classificationIntestinal type","se_(Intercept)","se_Lauren_classificationIntestinal type","W_(Intercept)","W_Lauren_classificationIntestinal type","p_(Intercept)","p_Lauren_classificationIntestinal type","q_(Intercept)","q_Lauren_classificationIntestinal type","diff_(Intercept)","diff_Lauren_classificationIntestinal type","passed_ss_(Intercept)","passed_ss_Lauren_classificationIntestinal type"
"1","NAGLIPASYN-PWY",0.444322800282906,-1.31072878774322,0.21875240312869,0.258082126478434,2.03116763028891,-5.07872747961392,0.0484488432804782,7.81877253800112e-06,0.31774890722911,0.0012354315459991,FALSE,TRUE,FALSE,TRUE
"2","PWY-1269",0.443458232615308,-1.30813508474042,0.221922331661567,0.261087338281575,1.99825871193344,-5.01033521330567,0.0520375338380493,9.78559640395326e-06,0.32443153812611,0.0012354315459991,FALSE,TRUE,FALSE,TRUE
"3","PWY-6467",0.443955393266313,-1.30962656669344,0.221272259856298,0.260431549418124,2.0063761881161,-5.02867862829795,0.0511315771798963,9.21458389829975e-06,0.323314840550944,0.0012354315459991,FALSE,TRUE,FALSE,TRUE
"4","PWY-8073",0.444322800282906,-1.31072878774322,0.21875240312869,0.258082126478434,2.03116763028891,-5.07872747961392,0.0484488432804782,7.81877253800112e-06,0.31774890722911,0.0012354315459991,FALSE,TRUE,FALSE,TRUE
"5","PWY-6703",0.432140524379986,-1.27418196003446,0.221737398525182,0.262563824424529,1.94888425341975,-4.85284659007055,0.0578526676414513,1.63665247429447e-05,0.351995146493167,0.00137751583253118,FALSE,TRUE,FALSE,TRUE
"6","PWY0-1241",0.461498073803595,-1.36225460830528,0.240765183283137,0.278387858306511,1.91679738536314,-4.89336933224082,0.0619244784059039,1.43425893107711e-05,0.372284066606922,0.00137751583253118,FALSE,TRUE,FALSE,TRUE
"7","PWY-6654",0.165871807765442,-1.78383373536317,0.150041184191851,0.242603721476363,1.10550852193588,-7.35287045271879,0.294826413708982,2.44549985794244e-05,0.543384448624218,0.00176425346894419,FALSE,TRUE,TRUE,FALSE
"8","PWY-6167",0.162169386640044,-1.72174128460513,0.128791617377688,0.226883870442183,1.25916103813243,-7.58864559763357,0.239648363545691,3.3661597022736e-05,0.502167732740971,0.00196025883006624,FALSE,TRUE,TRUE,FALSE
"9","PWY-6305",0.512785226537132,-1.51611606650589,0.28886780808875,0.328269728025811,1.77515532080192,-4.61850709056756,0.0829508574721379,3.49353058823686e-05,0.387111158858569,0.00196025883006624,FALSE,TRUE,FALSE,TRUE
"10","PWY-6143",0.945035809693249,-2.81286781597425,0.530367632018846,0.633236028579954,1.7818504611527,-4.4420527086593,0.0818365651469411,6.14325081274664e-05,0.387111158858569,0.00306279544531761,FALSE,TRUE,FALSE,TRUE
"11","PWY-7356",0.379013487263323,-1.11480084868447,0.21039732871502,0.253673475359555,1.8014177726405,-4.3946291471915,0.0786517411650515,7.14190573374896e-05,0.387111158858569,0.00306279544531761,FALSE,TRUE,FALSE,TRUE
"12","PWY-7373",0.710150759587961,-2.10821266565838,0.432780131500782,0.48037529457972,1.6409042557599,-4.38867837177774,0.108112900948723,7.27792977105175e-05,0.387111158858569,0.00306279544531761,FALSE,TRUE,TRUE,TRUE
"13","PWY-6897",0.329670829189159,-0.966772874461978,0.181227580014516,0.22412957292332,1.81909855642697,-4.31345521187752,0.0758643782839273,9.23192675472793e-05,0.387111158858569,0.00322800639888955,FALSE,TRUE,FALSE,TRUE
"14","PWY-I9",0.368786638476421,-1.08412030232376,0.207637009536416,0.251166082295376,1.77611226100683,-4.31634833977628,0.0827908156854241,9.14808416005671e-05,0.387111158858569,0.00322800639888955,FALSE,TRUE,FALSE,TRUE
"15","PWY0-162",0.341531581789122,-1.00235513226187,0.19395028742494,0.233027638369837,1.76092330835703,-4.30144312182847,0.0853618465310523,9.58813781848381e-05,0.387111158858569,0.00322800639888955,FALSE,TRUE,FALSE,TRUE
"16","LIPASYN-PWY",0.477603176697924,-1.41056991698827,0.290526331078555,0.332641148829345,1.64392389125234,-4.2405154081281,0.107484788488696,0.000116119855360851,0.387111158858569,0.00344944276218998,FALSE,TRUE,TRUE,TRUE
"17","PWY-7357",0.300173158966239,-0.878279863793217,0.165722537268991,0.206739400150213,1.81129956077739,-4.24824616476141,0.0770834331851842,0.000113337683824666,0.387111158858569,0.00344944276218998,FALSE,TRUE,FALSE,TRUE
"18","PWY-6147",0.320996005933696,-0.940748404695585,0.18349740848761,0.225009481531969,1.74932174017798,-4.1809278359762,0.0873703572775357,0.000139918679346374,0.387111158858569,0.00368671445822522,FALSE,TRUE,FALSE,TRUE
"19","PWY-6803",0.405751019119304,-1.19501344425241,0.2456704444047,0.286761569981515,1.65160697332764,-4.16727194069081,0.105900116780066,0.000146008493395058,0.387111158858569,0.00368671445822522,FALSE,TRUE,TRUE,TRUE
"20","RIBOSYN2-PWY",0.319219913363569,-0.935420126985205,0.185552293616911,0.224365404651362,1.72037708152844,-4.16918164562287,0.0925539581459771,0.000145141589095248,0.387111158858569,0.00368671445822522,FALSE,TRUE,FALSE,TRUE
"21","PWY-5695",0.308900809562487,-0.904462815581958,0.178372857777054,0.218588145421312,1.73177025592413,-4.13774870470982,0.0904838528868381,0.000160069817195598,0.387111158858569,0.00384929798494177,FALSE,TRUE,FALSE,TRUE
"22","PWY-5677",0.333639944742574,-1.15140595163819,0.162437853956687,0.278012919183838,2.05395439927159,-4.14155556158459,0.0463936819451683,0.000167833840474764,0.312384125097467,0.00385254951998891,FALSE,TRUE,TRUE,FALSE
"23","PWY-6151",0.350489332892974,-1.02922838557342,0.19624103828772,0.251257051968598,1.78601446441137,-4.09631641185558,0.0811498968830177,0.000182047338189809,0.387111158858569,0.00399712633851536,FALSE,TRUE,FALSE,TRUE
"24","ARO-PWY",0.293610134684688,-0.858590790948564,0.174894748375919,0.218273175045018,1.67878188116662,-3.93356073540178,0.100448407500765,0.000300419955654861,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"25","COA-PWY",0.298689114047013,-0.873827729035537,0.175978988857953,0.22568658357693,1.6972998650885,-3.8718638706216,0.0968677021776284,0.000362526613533204,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"26","COA-PWY-1",0.30032200643714,-0.878726406205917,0.177645821147099,0.226734386354609,1.69056611913466,-3.87557626495878,0.0981573477546511,0.000358461978645795,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"27","COMPLETE-ARO-PWY",0.294919256695597,-0.862518156981287,0.176767940509596,0.220010485207604,1.66839787715684,-3.92035023316006,0.102503638681703,0.000312783780453466,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"28","METHANOGENESIS-PWY",-0.0106797386090072,-1.33508841022601,0.088896698097725,0.223944923375312,-0.120136504926953,-5.96168196225875,0.907014157936476,0.000212262918906633,0.94208718644812,0.00412931494774471,FALSE,TRUE,TRUE,FALSE
"29","NONMEVIPP-PWY",0.31274434323794,-0.915993416608317,0.194328656294858,0.2373030859556,1.60935782298319,-3.86001476938105,0.114856262824617,0.000375800440841432,0.387111158858569,0.00412931494774471,FALSE,TRUE,TRUE,TRUE
"30","NONOXIPENT-PWY",0.286351670635067,-0.836815398799699,0.168442508844453,0.214096579631719,1.69999647119657,-3.90858835876387,0.0963551967755721,0.000324205475514481,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"31","PANTOSYN-PWY",0.314132738471372,-0.920158602308614,0.200631303144355,0.238400299222317,1.56572146792743,-3.85972083638424,0.124744355544599,0.000376135619002489,0.387111158858569,0.00412931494774471,FALSE,TRUE,TRUE,TRUE
"32","PENTOSE-P-PWY",0.318203023658854,-0.932369457871061,0.184533068918695,0.231442822250255,1.72436856723525,-4.02850885072126,0.0918242810880611,0.000224493268207626,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"33","POLYISOPRENSYN-PWY",0.318357789871258,-0.932833756508273,0.189480097881773,0.240402144023372,1.6801647953016,-3.88030547854673,0.100177280205972,0.000353347869983715,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"34","PPGPPMET-PWY",0.312813480022534,-0.916200826962102,0.181960886475897,0.228290243540187,1.71912484095295,-4.01331573681913,0.0927838689834613,0.000235246405474224,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"35","PWY-6163",0.295715853121171,-0.86490794625801,0.175081503258348,0.219426976765943,1.68901824360519,-3.94166642135614,0.0984557947813298,0.000293069605447228,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"36","PWY-6168",0.237331497252751,-0.689754878652749,0.130768705062122,0.177921665589589,1.81489521625229,-3.87673348474493,0.0765193610036665,0.000357203998375985,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"37","PWY-6386",0.303815223440048,-0.889206057214642,0.176167355762743,0.225526370210315,1.72458298034068,-3.94280303622771,0.0917852203581238,0.000292052942885288,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"38","PWY-6628",0.294512856262825,-0.861298955682974,0.178946615903164,0.221585521876005,1.64581405899399,-3.88698209337405,0.107093140460436,0.000346247898064272,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"39","PWY-6630",0.300791754080975,-0.880135649137425,0.183319076689729,0.225760779790873,1.64080989012437,-3.89853210975224,0.108132578242833,0.000334290253851952,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"40","PWY-6700",0.337204339876063,-0.989373406522689,0.193471489540159,0.249140661380209,1.74291488982448,-3.97114385520886,0.0884963552152084,0.000267780359697544,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"41","PWY-7560",0.31274434323794,-0.915993416608317,0.194328656294858,0.2373030859556,1.60935782298319,-3.86001476938105,0.114856262824617,0.000375800440841432,0.387111158858569,0.00412931494774471,FALSE,TRUE,TRUE,TRUE
"42","PWY-7644",-0.290556786155559,-1.18023537893331,0.0847625929811635,0.21378244431322,-3.42788930749355,-5.52073105312664,0.00753334116538374,0.000370134096364197,0.0745948487944861,0.00412931494774471,FALSE,TRUE,TRUE,FALSE
"43","PWY-7784",0.158707019809255,-1.50314341653271,0.0867350444411878,0.337311143584997,1.82979118569391,-4.45625187640425,0.0848740053148419,0.000346742621539376,0.387111158858569,0.00412931494774471,FALSE,TRUE,TRUE,FALSE
"44","PWY-7851",0.300427606104968,-0.879043205209402,0.177877650206798,0.226998955637384,1.68895645830544,-3.87245484342059,0.0984677232014005,0.000361876597011772,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"45","PWY-7953",0.304207918443166,-0.890384142223998,0.174731161232155,0.225429857059215,1.74100553271654,-3.94971701547996,0.0888342555732926,0.000285941868107223,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"46","PWY-8178",0.284924710918698,-0.832534519650593,0.16924201785902,0.214048288843517,1.68353411595483,-3.88947056829418,0.09951923550641,0.000343637113527398,0.387111158858569,0.00412931494774471,FALSE,TRUE,FALSE,TRUE
"47","CALVIN-PWY",0.290461863893099,-0.849145978573797,0.174747354130957,0.222589707734165,1.66218175569872,-3.81484834684232,0.103750436513443,0.000430841463975068,0.387111158858569,0.00435149878614819,FALSE,TRUE,FALSE,TRUE
"48","PANTO-PWY",0.322490701974774,-0.945232492818823,0.21020060338194,0.247644903088892,1.53420445415564,-3.81688652190646,0.132305032277709,0.000428198044889834,0.389458043700633,0.00435149878614819,FALSE,TRUE,TRUE,TRUE
"49","PWY-5686",0.300801538491926,-0.880165002370278,0.183559147832184,0.230213621636111,1.63871723117242,-3.82325335970571,0.108569697825816,0.000420041080588715,0.387111158858569,0.00435149878614819,FALSE,TRUE,FALSE,TRUE
"50","PWY-7790",0.300609153228091,-0.87958784657877,0.183381978432282,0.230220591840858,1.6392513364616,-3.82063063753565,0.108457995325608,0.000423382869656905,0.387111158858569,0.00435149878614819,FALSE,TRUE,FALSE,TRUE
